BRK,ORAizx,COPimm,ORAsr,TSBzp,ORAzp,ASLzp,ORAidl,PHP,ORAimm,ASL,PHD,TSBabs,ORAabs,ASLabs,ORAabl
BPLrel,ORAizy,ORAizp,ORAisy,TRBzp,ORAzpx,ASLzpx,ORAidly,CLC,ORAaby,INC,TCS,TRBabs,ORAabx,ASLabx,ORAalx
JSRabs,ANDizx,JSRabl,ANDsr,BITzp,ANDzp,ROLzp,ANDidl,PLP,ANDimm,ROL,PLD,BITabs,ANDabs,ROLabs,ANDabl
BMIrel,ANDizy,ANDizp,ANDisy,BITzpx,ANDzpx,ROLzpx,ANDidly,SEC,ANDaby,DEC,TSC,BITabx,ANDabx,ROLabx,ANDalx
RTI,EORizx,WDMimm,EORsr,MVPbm,EORzp,LSRzp,EORidl,PHA,EORimm,LSR,PHK,JMPabs,EORabs,LSRabs,EORabl
BVCrel,EORizy,EORizp,EORisy,MVNbm,EORzpx,LSRzpx,EORidly,CLI,EORaby,PHY,TCD,JMPabl,EORabx,LSRabx,EORalx
RTS,ADCizx,PERrell,ADCsr,STZzp,ADCzp,RORzp,ADCidl,PLA,ADCimm,ROR,RTL,JMPind,ADCabs,RORabs,ADCabl
BVSrel,ADCizy,ADCizp,ADCisy,STZzpx,ADCzpx,RORzpx,ADCidly,SEI,ADCaby,PLY,TDC,JMPial,ADCabx,RORabx,ADCalx
BRArel,STAizx,BRLrell,STAsr,STYzp,STAzp,STXzp,STAidl,DEY,BITimm,TXA,PHB,STYabs,STAabs,STXabs,STAabl
BCCrel,STAizy,STAizp,STAisy,STYzpx,STAzpx,STXzpy,STAidly,TYA,STAaby,TXS,TXY,STZabs,STAabx,STZabx,STAalx
LDYimm,LDAizx,LDXimm,LDAsr,LDYzp,LDAzp,LDXzp,LDAidl,TAY,LDAimm,TAX,PLB,LDYabs,LDAabs,LDXabs,LDAabl
BCSrel,LDAizy,LDAizp,LDAisy,LDYzpx,LDAzpx,LDXzpy,LDAidly,CLV,LDAaby,TSX,TYX,LDYabx,LDAabx,LDXaby,LDAalx
CPYimm,CMPizx,REPimm,CMPsr,CPYzp,CMPzp,DECzp,CMPidl,INY,CMPimm,DEX,WAI,CPYabs,CMPabs,DECabs,CMPabl
BNErel,CMPizy,CMPizp,CMPisy,PEIizp,CMPzpx,DECzpx,CMPidly,CLD,CMPaby,PHX,STP,JMPiax,CMPabx,DECabx,CMPalx
CPXimm,SBCizx,SEPimm,SBCsr,CPXzp,SBCzp,INCzp,SBCidl,INX,SBCimm,NOP,XBA,CPXabs,SBCabs,INCabs,SBCabl
BEQrel,SBCizy,SBCizp,SBCisy,PEAabs,SBCzpx,INCzpx,SBCidly,SED,SBCaby,PLX,XCE,JSRiax,SBCabx,INCabx,SBCalx
